texto,review_score,sentimento
Maravilha,5,positivo
Entrega no prazo,3,neutro
Cumpriu o prometido na compra e com o uma entrega em tempo satisfatório,5,positivo
Pedi reembolso e sem resposta até momento,1,negativo
***** Recomendo Super rápido.,5,positivo
Satisfeito,5,positivo
"estao de parabens... sempre chega com muiiita antecedencia..

Muito obrigada....",5,positivo
Não recebi o produto.,3,neutro
OTIMO OK RECOMENDO,5,positivo
"Produto chegou, mas meu PC não conseguiu reconhecer as portas USB.",3,neutro
"Produto de muito boa qualidade, chegou antes do prazo prometido",5,positivo
"Este foi o pedido
Balde Com 128 Peças - Blocos De Montar 2 un - R$ 25,00 cada (NÃO FOI ENTREGUE)
Vendido e entregue targaryen
Tapete de Eva Nº Letras 36 Peças Crianças 1 un - R$ 35,90 (ESTE FOI ENTREG",1,negativo
"Entrega muito rápida
Parabéns",5,positivo
comprei tres pacotes de cinco folhas cada de papel transfer para tecido escuro e so recebi dois,1,negativo
"Estava faltando apenas um produto, eu recebi hoje , muito obrigada!
Tudo certo!

Att 

Elenice.",4,positivo
"A bolsa térmica além de linda é super espaçosa . Produto de acordo com o anunciado e a entrega super rápida , entregou bem antes do prazo .",5,positivo
Demorou de mais pra entrega,2,negativo
super rapido a entrega .... chegou antes da data...,5,positivo
Entrega atrasou A entrega foi dividida em duas. Não houve comunicado do loja. Cheguei a pensar que só haviam enviado parte do produto.,3,neutro
Não funciona não faz sincronismo,1,negativo
Recomendo a todos os clientes,5,positivo
Gostei,3,neutro
OTIMA,5,positivo
"Gostei muito do jogo de banho.A estampa florida, o bordado, tudo muito bonito. Ótimo produto.",5,positivo
"Chegou apenas uma peça, mas na nota e na garantia constam as duas joias.",1,negativo
EU NÃO RECEBI O PRODUTO E CONSTA NO SISTEMA QUE EU RECEBI ALÉM DE PAGAR CARO DO FRETE,1,negativo
"Comprei o relógio, unissex e enviaram um relógio feminino, bem menor que as especificações do anúncio.",1,negativo
Sempre compro na lannister.Pra mim é a melhor loja on-line,5,positivo
Produto de qualidade excelente,5,positivo
Ótimo custo-benefício,5,positivo
OK,5,positivo
muito boa Gostei da atenção com a entrega,5,positivo
"4   Se fosse vidro tinha quebrado; veio na caixa sem nenhuma proteção por dentro, a caixa estava muito amassada. Desculpe.. mas gosto de comprar de vcs
.",4,positivo
Médio A peça não serviu,1,negativo
Comprei o produto dia 25 de fevereiro e hoje dia 29 de marco não fora entregue na minha residência. Não sei se os correios desse Brasil e péssimo ou foi a própria loja que demorou postar.,1,negativo
"fiz minha compra faz 30 dias e não recebi ainda meu produto.
Precisa melhorar nas entregas",1,negativo
"prazo entrega Espero receber esta semana, o que não seria tão extravagante, porém...mais atrazo do que isso me faria desistir do baratheon.",5,positivo
"Entregou no prazo certo, fiquei feliz com a compra que fiz",5,positivo
Lindo relógio adorei,5,positivo
"Comprei dois lustres pendentes, com a parceira targaryen e só me enviaram um lustre. Abri reclamação, mas ainda não recebi resposta. Aguardo solução por parte de Lojas lannister.",3,neutro
Super produto  Muito bom alta qualidade!,5,positivo
"Produto bonito, entregue bem valado e dentro do prazo. Recomendo!",5,positivo
Muito bom,5,positivo
falta de produto e quebra Faltou 1 produto e os que recebi 1 veio quebrado,1,negativo
"super recomendo chegou dentro do prazo e o produto é de excelente qualidade! Acabou as dores nas costas, estou dormindo muito bem!",5,positivo
não recebi ainda aqui está descrevendo como entregue só que ate agora não recebi,1,negativo
"Acho que rastreando o produto devia ser melhor e mais preciso, mas no geral foi uma ótima experiência",5,positivo
Ainda não tive a oportunidade de testar,5,positivo
recomendo Comecei a usar agora,3,neutro
nada a declarar,5,positivo
Nota3 Comprar um produto correto na capa mas interno ser outro.???????,3,neutro
entrega super rapida,3,neutro
"Suspense Fiz um pedido de 4 garrafas de azeite.Chegaram 2 num dia e as outras 2 quase 48 horas depois.Contato com a loja muito dificil,tanto via e-mail qto por telef.O suspense terminou mas lá não compro mais",3,neutro
O produto chegou muito rapido e de boa qualidade recomendo o produto,5,positivo
Entrega antes do previsto,5,positivo
"Não posso! Estou aguardando a chegada do produto que comprei!Logo que isso aconteça, terei minha opinião formada!",1,negativo
Comprei dois produtos e recebi somente um. Mandei dois emails para a loja e não tive nenhum retorno. Estou insatisfeita.,1,negativo
Recomendo,5,positivo
Não recomendaria esta loja nem pretendo voltar a comprar nela.A mercadoria foi entregue após o prazo e quase 1 mês após a compra. No site das lannister costumam chegar antes do prazo. Estranhei muito,3,neutro
Top Recomendo,5,positivo
Atendeu minha expectativa.,4,positivo
Entrega antes do prazo. Produto muito prático e de fácil manuseio.,5,positivo
"otimo produto só nao veio manual, mas sem problemas.",5,positivo
"Uma das peças não encaixava, estava de diâmetro diferente. Eu tive que serrar e martelar para poder caber e encaixar.
De resto, tudo ok.",4,positivo
Excelente produto.,5,positivo
Tudo certo,5,positivo
"Demora na entrega, detestei o atendimento e NUNCA mais compro. baratheon quando vendia por eles mesmos era bem melhor!",1,negativo
Produto muito bom,5,positivo
o meu produto não chegou... segundo o rastreio está parado em Ribeirão Preto sp...,1,negativo
produto deu defeito na 1 vez de uso.,1,negativo
produto show super recomendo produto profissional de qualidade,5,positivo
até agora não recebi o produto.,1,negativo
A loja anuncia um produto e entrega outro.,1,negativo
super recoendo muito bom e rapido quando vi ja tinha chegado,5,positivo
O produto chegou muito bem,5,positivo
otimo,5,positivo
"Erraram na caixa acústica Apesar de ter sido entregue rapidamente, substituíram a caixa METEORO pela caixa BORNE. Quando tentei reclamar nas lannister o sistema estaav fora do ar. A guitarra e acessórios estavam corretos.",3,neutro
Muito satisfeito,5,positivo
parabéns para loja e revendedor apesar de ter demorado um pouco,4,positivo
"Ótima compra Entregue dentro do prazo, e com bom período de validade.",5,positivo
"O Jogo de toalhas é lindo mais bonito do que na foto, amei.",5,positivo
produto foi entregue com umas das alças com problemas (está faltando 1 pino de fixação),1,negativo
Foi marcado o dia 14/02 para entrega do pedido e no rastreamento marcava que o produto já havia sido entregue na data mas na realidade não foi entregue. O produto só foi entregue no dia 28/02.,2,negativo
"LOJA ALÉM DO FRETE SER MUITO CARO . O PRODUTO LEVA QUASE 30 DIAS ÚTEIS , PARA CHEGAR NA SUA CASA",2,negativo
"Recebi bem rápido, porém veio outro produto, e não o que eu pedi, o modelo veio diferente, a cor, veio uma capinha que não tem zíper, enfim, não recomendo.",1,negativo
sempre comprei no stark e estou satisfeito.,5,positivo
fiz a compra por tabela e graças A Deus deu tudo certo fico muito grato pode confiar.,5,positivo
"Horrível Cancelaram a minha compra um dia antes da entrega, liguei para a lannister e os atendentes não sabiam o que estava acontecendo, uma bagunça, agora estou esperando para ver se vai ser cobrado",1,negativo
super recomendo produto de qualidade e eficiência na entrega. recebi muito antes do combinado. recomendo,5,positivo
Muito bom.  Produto bom veio no dentro do prazo chegou em 08 dias estão de parabéns.,5,positivo
"Tudo ok,o baratheon sempre responsável com a suas entregas.",5,positivo
o acabento que estava na foto era bonito a que chegou foi de um sintetico feio com um acabento todo borrado orrivel nao gostei,1,negativo
E muito desordenado comprei três produtos mais não veio no dia sertões veio separado e em data separada,1,negativo
A,5,positivo
otimo entrega rapida,5,positivo
foi bom,4,positivo
Mercadoria certa entregue no prazo combinado. Grata,5,positivo
", muito ruim !",1,negativo
Passou dos dias previstos.,1,negativo
Ao fazer a compra do kit entendi que receberia 2 frascos de 60 cápsulas (cada) e não 2 frascos com 60 cápsulas no total. Só não vou devolver porque estou precisando do produto.,3,neutro
Entrega bem antes do prazo perfeito!!,5,positivo
10 Cada vez que compro mais fico satisfeita parabéns pela honestidade com seus clientes 👏👏👏👏?,5,positivo
bem rapido a entrega e bom comprar com vcs,5,positivo
Produto não recomendo não ler em nenhum dispositivo,1,negativo
"Entrega super rápida, parabéns!",4,positivo
recomendo Tudo rápido e eficiente.,4,positivo
Muito bom  Creme maravilhoso e entrega super rápida,5,positivo
"Tentando cancelar o produto desde antes da emissão da nota fiscal. Não fui avisada que estava no correio, não tive nenhuma resposta do cancelamento e nao consigo devolver.",1,negativo
"Chegou hoje 
sem comentários",4,positivo
"Lamenetável... Boa Noite

é lamentável, esta loja que tantas compras eu ja fiz e hoje não me da satisfação sequer de um relógio na importância de 50,00 reais ... um produto com defeito e até agora não me deu retor",1,negativo
Muito bom! Aquilo que esperava!,5,positivo
Qualidade ruim! A capa protetora não é exatamente o que eu esperava deixa a desejar no tipo material e na qualidade.,2,negativo
Insatisfeito No site o produto parece ter melhor qualidade de material e acabamento.,3,neutro
"mega recomendo Recebi meu produto corretamente e dentro do prazo,verificando na caixa esta tudo correto,mas ainda não montei.Produto lindo,cor perfeita,amamos.
SUPER RECOMENDO.",5,positivo
"A embalagem deixou a desejar, por pouco o produto não foi danificado, a caixa estava toda amassada.",3,neutro
EXCELENTE PRODUTO Parabéns .Produto entregue bem antes do prazo.Atendeu às minhas necessidades.,5,positivo
Recomendo.,5,positivo
Faltaram os cabos e o manual,3,neutro
ótimo chegou bem antes do prazo .,5,positivo
Entregue no prazo produto muito bom.,5,positivo
"O produto foi embalado apenas com papel pardo sobre a embalagem e enviado pelos correios. Lógico, a embalagem chegou amassada e só deus sabe se o produto está funcionando ou não, ainda não testei.",2,negativo
Acho q deveriam mandar por sedex ao invés de pac,5,positivo
"Última vez que compro pois hoje vai fazer 1 mês que fiz a comprar e nada, e se demorar mas tempo de entregar estarei procurando meus direitos contra as lojas lannister e a targaryen.",1,negativo
Lindo... Só faltou instruções da troca de pulseiras.,5,positivo
"Produto exatamente conforme descrito.
Chegou bem antes do prazo!",5,positivo
"O produto chegou bem antes do prazo estipulado, amei o atendimento! Super recomendo",5,positivo
"Não gostei do produto, material de péssima qualidade.",1,negativo
"Dos dois produtos comprados, foi entregue apenas um!",1,negativo
Nao compro mais na lannister. Se é parceiro da lannister ou não essa targaryen jamais uso novamente. Quando eu ler que é dessa empresa saio correndo. Um absurdo. Quase um mês para entregar. Extra.com ok,1,negativo
Recebi corretamente o produto,3,neutro
"recebi o produto dentro do prazo informado, ainda não utilizei.",5,positivo
"Recomendo O pedido chegou antes do combinado, muito bom.",4,positivo
produto entregue conforme anunciado.,4,positivo
nao entrega do produto recebe apenas 01 peça do produto! estou precisando da 2 peças restante!,3,neutro
LOJA 10,5,positivo
"O violão que comprei é lindo, porém a cor do adesivo não confere com a foto do ato da compra, mas aprovei.",4,positivo
Nem fizeram a nota fiscal,1,negativo
"Chegou antes do prazo!
Produto excelente!",5,positivo
recomendo trabalho com profissionalismo das lojas lannister. indico com certeza,4,positivo
"O MP3 player não funciona, mesmo trocando a pilha diversas vezes. Tive que devolver.",1,negativo
super recomendo o produto que é muito bom!,5,positivo
"Pré treino muito bom, um dos melhores do mercado, se não for o melhor.",5,positivo
A loja postou o produto de e mediato o correio demorou um pouco,4,positivo
"Sempre compro no stark e sempre sou bem atendido, site eficiente e produtos de ótima qualidade, recomendo a todos podem comprar de olhos fechados!",5,positivo
Muito bom desde da compra a entrega td direitinho e rapido,4,positivo
Captador Presys Blend Tudo ok!,5,positivo
A targaryen não é de confiança não entregou a minha compra e colocou no rastreamento do pedido que foi entregue no dia 14/12/17 empresa falsa quero receber meus produtos que foram pagos com boleto bancari,1,negativo
Entrega e qualidade do produto de acordo com o esperado.,5,positivo
Excelente recomendo,5,positivo
"A bolsa e muito bonita por fora
Mas dentro não tem forro 
E é bem fragil",3,neutro
"Produto pirata! Quando instalei o cartucho de tinta, a minha impressora indicou que o mesmo estava vazio, e apresentou a mensagem de erro ""!"" em cima do marcador de nível da tinta. Já solicitei a troca.",1,negativo
"muito bom, recomendo o produto.",4,positivo
produto fraco  quanto ao site não tenho o que questionar! sempre cumprem super o combinado ... recomendo sempre! mas o produto é fraco..,5,positivo
bom em todos os aspectos,4,positivo
Até hoje estou satisfeito com a sbmarino,5,positivo
Não foram entregue as duas capas de couro compradas. Apenas uma delas. Aguardo a devolução do dinheiro ou a entrega da segunda capa.,1,negativo
Gostei!,5,positivo
"Nota 8 Fiquei feliz com. O tecido ,mas acho que faltou o lençol de cima para ficar completo , espero que logo lancem.",3,neutro
Chegou antes do prazo é a cabeceira é linda.,5,positivo
"Houve alguma confusão entre vendedor e o stark, pois recebi um email do stark pedindo o cancelamento do produto por algum imprevisto na entrega; neguei e recebi o produto dias depois.",3,neutro
10,5,positivo
Gostei do produto chegou no tempo certo os vendedores estão de parabéns,5,positivo
Atendimento excelente,5,positivo
Gostei,4,positivo
No dia 19 de maio usei e a à alça quebrou sem muito peso,1,negativo
Toalha do maior campeão do Brasil maravilhosa,5,positivo
"A entrega foi realizado muito antes do previsto. 
Bom produto...estou satisfeita",5,positivo
Até agora tudo bem estou esperando a entrega do produto,5,positivo
"Tudo certo! A compra ocorreu como o esperado, desde de o pedido até o recebimento do produto. Tudo bem certinho.",5,positivo
O produto foi entregue antes do prazo.,5,positivo
"Gostei muito do produto era exatamente boque eu esperava, entrega dentro do prazo, parabéns recomendo a loja",4,positivo
comprei o produto na cor preta e chegou na cor vermelha.,2,negativo
"já é a segunda vez que compro nesta loja,super eficiente entrega rápida e antes do prazo contratado, produto bem embalado , Nota 10
Muito Obrigado",5,positivo
recomendo otimo,4,positivo
Ótimo,5,positivo
Pensei que a mochila fosse um material mais resistente.,2,negativo
"Comprei um produto e veio outro.
Mandei msg informando o erro , porém não obtive resposta.
Obrigado",1,negativo
o produto demora muita para chegar !,1,negativo
"So recebemos um relogio pelo correio

att",3,neutro
"entrega rápida, produto conforme esperado",5,positivo
Otimo Tudo como anunciado....Ótimo produto...,5,positivo
"Produto de boa qualidade, exatamente conforme anunciado, e o preço baixo é uma atrativo a mais.",3,neutro
"Somente foi entregue uma unidade, ao invés de duas.",1,negativo
"adorei o produto;; recebi antes do prazo combinado ,, ficou muito bonito",4,positivo
perfeito!! Muito satisfeito.,5,positivo
Lol pet Otimo produto porem caro demais !!!,4,positivo
"Produtos otimos, entrega rápida.
Super recomendo!!!",5,positivo
bom,4,positivo
recebi sim mais com defeito os encaixes sao dois igual e nao fecham,2,negativo
Ainda não recebi,1,negativo
Excelente Tive um pós venda excelente através do Sr Renato,5,positivo
"Gostei muito do produto, a entrega veio antes do prazo. Recomendo, fica bem encaixado no celular, não tira a elegância do aparelho, como outras as capas que deixam monstruoso com o tamanho.",5,positivo
1000000 Muito bom,5,positivo
"Até agora nao recebi.Comprei este aparelho por questao de saude,portanto nao recomendo esta loja.",1,negativo
"Recomendo a todos. Produto de ótima qualidade, entregue sem problemas.",5,positivo
Ótimo custo x benefício Produto chegou dentro do prazo. Veio conforme descrição e é excelente.,5,positivo
"o produto chegou antes do prazo, e gostei bastante!! agora meu rapazinho de 3 aninhos vai aproveitar ao maximo!!",4,positivo
"Gostaria de saber quando chegará meu produto?
Pois já se passou a data prevista para entrega , gostaria de uma resposta estou aguardando!",1,negativo
Loja Nota 10,4,positivo
Parabéns. Recebi antes do prazo . tudo correto como foi combinado.,5,positivo
"O produto entregue difere do pedido
trata-se de um produto inferior!
Gostaria que fosse solucionado o problema!
Não estou satisfeito com procedimento!",1,negativo
Bom  Muito bom mesmo!,5,positivo
"Comprei o produto, paguei no boleto e só recebi metade do produto, anunciaram uma coisa é mandaram outra. Muito insatisfeita 😡😡😡",2,negativo
Entrega antes do prazo produto muito bem conservado.,5,positivo
Produto de ótima qualidade. Adorei!,5,positivo
"Produto e entrega ótimos Apesar da demora em expedir a nota fiscal, depois de expedida a entrega foi rápida e o produto veio bem embalado. Recomendo.",5,positivo
Comprei o produto dia em inicio de março e não recebi no prazo abrindo até um protocolo para resolverem minha situação,2,negativo
"Não recebi o produto, assim como nenhum contato por parte do .vendedor",1,negativo
Nem ratrear estou conseguindo:(,1,negativo
nota 10,5,positivo
Esperando o instalador,3,neutro
"comprei um produto para ser entregue por essa loja
e ainda não recebi
pois assim já se passou a data de entrega",2,negativo
Ótimo serviço,5,positivo
"Ótima compra. Ótimo produto. Só senti falta de algum comunicado entre a compra e a chegada do produto, só contato. Mas valeu.",4,positivo
veio conforme o pedido mais o pós venda não respondeu nenhuma das minhas perguntas,1,negativo
"Comprei duas mochilas, recebi apenas uma, o natal está chegando e até agora nada!",1,negativo
Perfeitos😁,5,positivo
"O preço foi ótimo, o prazo de entrega que é longo (mais de 1 mês para entregar). Comprei 2 cartuchos e entregaram apenas 1, reclamei e enviaram o outro ainda dentro do prazo de entrega.",3,neutro
"PRODUTO OK prazo foi estendido,porém entregue no prazo divulgado na propaganda. Cadeira conforme foto, vem para montar, mais fácil e linda",5,positivo
"Excelente Simplesmente lindo!!
Adorei o produto!!
Tamanho perfeito!!
Já comprei várias produtos, já faz anos que compro no baratheon !!",5,positivo
MUITO BOM! CHEGOU DENTRO DO PRAZO.,4,positivo
"Otimo, preço, entregou antes do prazo e produto de ótima qualidade.",5,positivo
"comprei um relogio de presente de natal para meu filho e ate agora nao chegou. enviei mensagens e na ultima conversa o relogio chegaria ontem, porem nao recebi nada.",2,negativo
só poderia entregar mais rápido fim de ano,5,positivo
"Otima Venda, tudo perfeito.",5,positivo
5,4,positivo
Produto de ótima qualidade!! Chegou antes do tempo esperado. Amei <3,5,positivo
"Veio bem embalado, Envio rápido!",5,positivo
Estou muito satisfeita com a minha compra e com o recebimento do produto; dentro do prazo!,5,positivo
"Até agora não recebi nada, a colcha estava prevista para anteontem(18/12) e até agora nada",3,neutro
4,4,positivo
"Os pincéis vieram amassados, não condiz com algumas fotos, mas condiz com a descrição. São fracos, não cabem na case e um veio descolado",1,negativo
Produto correspondente as minhas expectativas! Foi entregue antes do prazo estabelecido!,5,positivo
Indico a loja compro sempre na lannister .,4,positivo
"O produto veio diferente da q mostra na foto, não é de luxo, nem acolchoado como dizia.",1,negativo
"Foi tudo normal , como é mesmo uma compra por internet. Obrigado.",5,positivo
Recomendo a todos.  Boa compra.,4,positivo
"Produto chegou dentro do prazo. Atende pelo custo benefício, porém a bolsa não é forrada e a alça é de plástico. Estou satisfeita.",4,positivo
Super recomendado Estou plenamente satisfeita com minha aquisição. E recomendo. A única coisa que não concordo é com o valor de frete. Autíssimo.,5,positivo
Comprei 02 só enviaram 01,3,neutro
"parece que mantem bem o alimento sem murchar (batata palha) mas a tampa é estranha, parece que não fecha. e o inox da tampa é feio.",2,negativo
"Estou aguardando uma resposta até hoje, sobre os meus produtos, já foram pagos e ainda NÃO os recebi, foram 03 iguais e necessito falar com pessoas e NÃO máquina ou gravações.",1,negativo
Super recomendo Entrega e produto perfeito!,5,positivo
Parabéns 😤 pelo excelente atendimento de qualidade.,5,positivo
Excelente Loja,5,positivo
Produto entregue antecipadamente.,4,positivo
gostei de comprar recebi o produto antes do prazo e de boa qualidade. recomendo.,5,positivo
"Super recomendo, stark Sempre chegando antes da dta prevista =D",5,positivo
Correios não entregou,4,positivo
"Entrega feita no prazo e produto em perfeitas condicoes
Parabens a equipe",4,positivo
ainda não recebi o produto,3,neutro
"Gostaria de receber os produtos corretos, tentei realizar a troca pela devolução de dinheiro no cartão, mas o site da lannister não possibilita que seja realizado.",1,negativo
"Super satisfeita.  Produto perfeito, entrega rápida. Estou satisfeitíssima. 👏🏽",5,positivo
"meu produto veio com defeito,devolvi conforme informado.postado no correio conforme indicado.e até hoje não recebi nenhuma notificação da empresa quanto a devolução e análise para ter meuressarcimento",1,negativo
O pedido chegou antes do prazo. Obrigada.,5,positivo
Só recebemos 1 cartucho já abrimos reclamação no site e ainda não obtive resposta.,1,negativo
"Produto de alta qualidade. Descrição confere com o produto
Entregue no tempo certo.
Recomendo.",4,positivo
O tampo da mesa chegou todo amassado e batido.,1,negativo
Dentro do prazo porém poderiam agilizar como no meu outro produto que foi entregue em 2 dias.,2,negativo
O relógio é lindo e a entrega foi muito rápida. Recomendo!,5,positivo
"Adorei! Pequeno, fácil de usar, não arranha apela e limpa a pele.. recomendo",5,positivo
"Super recomendo Como sempre, excelente serviço.",5,positivo
Até o momento eu n recebir o produto,1,negativo
Como sempre lannister entrega certinho,4,positivo
"Produto perfeito, chegou antes do prazo!",5,positivo
"Muito bom o produto  Muito bom o produto, melhor que esperava e foi entregue no prazo, gostei bastante.",5,positivo
Muito bom o produto e preço cobrado!,1,negativo
Sdds,5,positivo
muito bom o produto.Recomendo,5,positivo
ótimo,5,positivo
entrega dentro do prazo isso é importante.,5,positivo
"10 Gostei muito , o objeto veio o mesmo comprado, já comprei em outras lojas e veio outra cor ñ Gostei! Com lannister tudo ok.",5,positivo
"O aparelho chegou apresentando defeito, não está apresentando todas as funções no visor digital.",3,neutro
produto incorreto O produto não está nas medidas corretas indicadas na oferta. Terei q ligar para vcs para troca,2,negativo
No aguardo de um retorno urgente.,1,negativo
"Produto mais que passou do prazo de entregar, tento resolver o problema com a empresa e não consigo falar com ninguém. Tudo que fazem é me passar para reclamar num sistema que não funciona.",1,negativo
Só recebi um produto. Consta que já recebi os dois. Não recebi a sapateira.,3,neutro
Deram um prazo muito grande para a entrega do produto e não conseguiram entregar no prazo,1,negativo
Excelente produto indico a qualquer pessoa.,2,negativo
otimo tudo certinho entrega no prazo ótimo.,5,positivo
Não recebi o produto.e agora?,1,negativo
Chegou amassado...,3,neutro
Recomendo!,4,positivo
"comprei tapete de borracha para tr4 mitsubishi a loja entregou um tapete de pvc horrivel
no titulo ta tapete borracha tr4,
me enganaram e agora o que fazer sendo que tem despesa para devoluçao, por",1,negativo
Gostei Ótimo perfume. Fragrância maravilhosa. Recomendo,5,positivo
muito boa e rapida e o produto veio em bom estado agora e mesmo fazer os testes!,4,positivo
Pedaleira plataforma O produto superou minha expectativa. O prazo de entrega foi antecipado em 7 dias. Já instalei e ficou show.,5,positivo
entrega rapida,5,positivo
"Previsão de entrega até 18/10, recebi em 05/10, excelente.",5,positivo
PRODUTO COM DEFEITO SOLICITEI DEVOLUÇÃO. PRODUTO COM DEFEITO,3,neutro
Regular  Loja em si é boa pena a americana nao da suporte ao cliente,5,positivo
Exatamente o que eu precisava,5,positivo
"Achei a qualidade do produto muito ruim, não veio nenhuma bucha ou parafuso para fixar na parede.",3,neutro
"Obrigada, chegou mto rápido",5,positivo
O único problema é que a marcação de data é a marcação americana.,4,positivo
Bom Acho que o produto deveria ter um prazo de validade maior.,4,positivo
"Entrega antes do prazo. Entrega antes do prazo, recomendo essa loja.",5,positivo
show,5,positivo
Boa noite as lojas lannister são ótimas adoro o site hoje faço pouquíssima compra pelo frete abusivo infelizmente não compensa como antes mas precisamos comprar obrigada,3,neutro
"Excelente produto, bonito e sofisticado.",5,positivo
Não veio a nota fiscal,4,positivo
"super recomendo agradeço muito, pois recebi o produto correto conforme encontrado no site, a entrega foi super rápida. fiquei muito satisfeito e com certeza vou recomentar para os amigo.",5,positivo
Entrega rápida produto conforme anunciado,5,positivo
"MEU PRODUTO AINDA NÃO FOI ENTREGUE, JÁ FIZ MINHA RECLAMAÇÃO E ATÉ AGORA NÃO TIVE NENHUMA PREVISÃO DE ENTREGA. ESTOU SUPER INSATISFEITO E QUERO MEU DINHEIRO DE VOLTA. FOI DENUNCIAR AO PROCON.",1,negativo
A cortina não é o modelo que pedi. |,1,negativo
A impressão está saindo com a tinta fraquinha...,3,neutro
Comprei Rosa com Braços Brancos e entregam toda Preta ?,1,negativo
Preciso de uma previsão.,1,negativo
Estou muito satisfeita chegou antes do prazo super recomendo,5,positivo
Produto chegou antes do prazo estipulado e atendeu plenamente minhas expectativas.,4,positivo
Bom,3,neutro
"Entrega dentro do prazo, produto sem nenhum problema",4,positivo
muito bom bom,5,positivo
Boa qualidade e preço.,5,positivo
Sempre entrega antes do prazo.,5,positivo
recomendo muito bom.super recomendo.entrega sempre certa.,5,positivo
"Boas Pessoal, a atendente da lannister foi muito atenciosa porém a loja que deveria ter me entregado o produto cancelou a comprar ??? O que será que aconteceu ???",3,neutro
Entregue antes do prazo! Produto perfeito!,5,positivo
"Recomendo para todos, não tive problema nenhum, mercadoria e prazo ótimos.",5,positivo
Gostei de ter comprado nesta loja. Atendimento perfeito.,5,positivo
"Comprei uma cadeira, recebi no prazo, porém a cadeira veio quebrada na parte inferior. Poderiam ter um maior cuidado na embalagem.",3,neutro
Sempre compro e sempre recebo o produto certo no prazo ou antes do prazo,5,positivo
ENTREGA MUITO RAPIDA,5,positivo
O produto foi entregue bem antes do prazo.adorei,5,positivo
Otimo produtos Ainda nao instalei mais gostei muito,5,positivo
Luminária excelente Bom produto. Entrega rápida. Recomendo,5,positivo
recomendo a todos.otima.,5,positivo
Produto recebido no prazo e em perfeitas condições.,5,positivo
chegou antes do prazo de  muito bom,5,positivo
"Recebi outra boneca, quero devolver e não consigo contato! Jamais compraria novamente dessa loja!",1,negativo
"ótima compra
mas o frete nao compensa,pesa no orçamento.
devia ter frete grates",3,neutro
N/a,5,positivo
"O produto chegou como eu imaginava,por enquanto estou gostando",4,positivo
MUITO BOA AMERICANA  Ótima rápida na entrega OBRIGADO,5,positivo
Excelente,5,positivo
Entrega de encomenda Penso que deveria haver um modo de se comunicar com a empresa caso acontecesse de encomenda não ser entregue,2,negativo
"Produto bom, prazo bom...",5,positivo
Muito bom. Já é o segundo objeto que compro e recebi sem problema nenhum,5,positivo
Bonito e de boa qualidade. Adorei,5,positivo
